ID,Purchase Order ID,Product,Quantity,Unit Cost,Date Received,Posted To Inventory,Inventory ID,Group By,Display,Title,Filter Row Source,Default,Tax Status Name,Company,Last Name,First Name,E-mail Address,Job Title,Business Phone,Home Phone,Mobile Phone,Fax Number,Address,City,State/Province,ZIP/Postal Code,Country/Region,Web Page,Notes,Attachments,Order ID,Unit Price,Discount,Status ID,Date Allocated,String ID,String Data,Status Name,Supplier IDs,Product Code,Product Name,Description,Standard Cost,List Price,Reorder Level,Target Level,Quantity Per Unit,Discontinued,Minimum Reorder Quantity,Category,Privilege ID,Privilege Name,Invoice Date,Due Date,Tax,Shipping,Amount Due,Status,Transaction ID,Transaction Type,Transaction Created Date,Transaction Modified Date,Product ID,Customer Order ID,Comments,Employee ID,Type Name,Supplier ID,Created By,Submitted Date,Creation Date,Expected Date,Shipping Fee,Taxes,Payment Date,Payment Amount,Payment Method,Approved By,Approved Date,Submitted By
238.0,90.0,Northwind Traders Chai,40.0,14.0,2006-01-22,True,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.0,91.0,Northwind Traders Syrup,100.0,8.0,2006-01-22,True,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0,91.0,Northwind Traders Cajun Seasoning,40.0,16.0,2006-01-22,True,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.0,91.0,Northwind Traders Olive Oil,40.0,16.0,2006-01-22,True,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.0,92.0,Northwind Traders Boysenberry Spread,100.0,19.0,2006-01-22,True,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.0,92.0,Northwind Traders Dried Pears,40.0,22.0,2006-01-22,True,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.0,92.0,Northwind Traders Curry Sauce,40.0,30.0,2006-01-22,True,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.0,92.0,Northwind Traders Walnuts,40.0,17.0,2006-01-22,True,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.0,92.0,Northwind Traders Fruit Cocktail,40.0,29.0,2006-01-22,True,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.0,92.0,Northwind Traders Chocolate Biscuits Mix,20.0,7.0,2006-01-22,True,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.0,92.0,Northwind Traders Marmalade,40.0,61.0,2006-01-22,True,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.0,92.0,Northwind Traders Scones,20.0,8.0,2006-01-22,True,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.0,90.0,Northwind Traders Beer,60.0,10.0,2006-01-22,True,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251.0,92.0,Northwind Traders Crab Meat,120.0,14.0,2006-01-22,True,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252.0,92.0,Northwind Traders Clam Chowder,40.0,7.0,2006-01-22,True,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.0,90.0,Northwind Traders Coffee,100.0,34.0,2006-01-22,True,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,92.0,Northwind Traders Chocolate,100.0,10.0,2006-01-22,True,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.0,92.0,Northwind Traders Dried Apples,40.0,40.0,2006-01-22,True,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0,93.0,Northwind Traders Long Grain Rice,100.0,5.0,2006-01-22,True,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0,93.0,Northwind Traders Gnocchi,120.0,28.0,2006-01-22,True,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
